LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var
Link 2,2017,1,11:00 PM-12:00 AM,10.68,8.54,7.91,2.85,2.22,15.6,4.12
Link 2,2017,1,12:00 AM-01:00 AM,3.3,2.35,1.26,0.61,1.46,7.54,1.12
Link 2,2017,1,06:00 AM-07:00 AM,3.24,2.35,1.04,0.47,1.6,3.35,0.55
Link 2,2017,1,08:00 AM-09:00 AM,2.58,2.08,0.85,0.49,1.39,2.03,0.72
Link 2,2017,1,02:00 PM-03:00 PM,4.44,3.53,2.33,1.1,1.68,4.22,1.23
Link 2,2017,1,05:00 AM-06:00 AM,2.51,1.92,0.87,0.53,1.25,2.37,0.59
Link 2,2018,1,12:00 AM-01:00 AM,2.53,2.11,0.96,0.61,1.31,1.32,0.69
Link 2,2018,1,01:00 AM-02:00 AM,4.9,3.67,2.75,1.28,1.61,6.67,1.19
Link 2,2018,1,02:00 AM-03:00 AM,2.3,1.63,0.06,0.03,1.59,2.62,0.39
Link 2,2018,1,05:00 AM-06:00 AM,2.49,1.82,0.8,0.47,1.24,4.54,0.59
Link 2,2018,1,09:00 AM-10:00 AM,5.71,4.25,3.54,1.63,1.61,2.72,0.89
Link 2,2018,1,10:00 AM-11:00 AM,15.71,11.99,12.7,4.21,2.3,11.44,2.79
Link 2,2018,1,11:00 AM-12:00 PM,5.71,4.51,3.52,1.61,1.73,4.29,0.99
Link 2,2018,1,12:00 PM-01:00 PM,3.14,2.47,1.14,0.57,1.58,2.9,0.94
Link 2,2018,1,04:00 PM-05:00 PM,3.93,3.2,2.04,1.08,1.54,4.16,1.08
Link 2,2018,1,05:00 PM-06:00 PM,7.96,6.22,5.62,2.4,1.83,6.04,1.13
Link 2,2018,1,06:00 PM-07:00 PM,6.7,4.79,4.29,1.78,1.72,6.2,1.4
Link 2,2018,1,08:00 PM-09:00 PM,3.62,2.7,1.62,0.81,1.49,3.88,0.81
Link 2,2018,1,09:00 PM-10:00 PM,3.31,2.42,1.0,0.43,1.69,2.95,0.82
