LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var,AvgTT
Link 2,2018,4,11:00 AM-12:00 PM,4.21,2.88,1.91,0.83,1.57,2.53,0.86,2.3
Link 2,2018,4,12:00 PM-01:00 PM,5.24,3.49,2.86,1.2,1.59,3.45,1.12,2.38
Link 2,2018,4,01:00 PM-02:00 PM,3.84,2.63,1.59,0.71,1.54,2.71,0.84,2.25
Link 2,2018,4,02:00 PM-03:00 PM,5.71,3.81,3.2,1.27,1.67,3.64,1.28,2.51
Link 2,2018,4,04:00 PM-05:00 PM,6.05,4.03,3.33,1.22,1.82,2.79,1.2,2.72
Link 2,2018,4,06:00 PM-07:00 PM,5.71,3.82,2.91,1.04,1.88,4.52,1.58,2.8
Link 2,2018,4,08:00 PM-09:00 PM,4.27,3.03,2.15,1.02,1.5,2.97,0.91,2.11
Link 2,2018,4,09:00 PM-10:00 PM,3.7,2.7,1.51,0.69,1.6,2.18,1.09,2.19
Link 2,2018,1,07:00 AM-08:00 AM,3.78,3.0,1.68,0.8,1.66,2.36,0.77,2.09
Link 2,2018,1,11:00 AM-12:00 PM,5.71,4.53,3.53,1.62,1.73,4.44,0.96,2.18
Link 2,2018,1,12:00 PM-01:00 PM,3.14,2.48,1.14,0.57,1.58,2.98,0.96,2.0
Link 2,2018,1,01:00 PM-02:00 PM,2.94,2.19,1.14,0.63,1.34,3.62,0.78,1.8
Link 2,2018,1,02:00 PM-03:00 PM,3.12,2.48,1.15,0.58,1.57,2.85,0.75,1.98
Link 2,2018,1,03:00 PM-04:00 PM,3.31,2.56,1.27,0.63,1.57,3.06,0.85,2.04
Link 2,2018,1,04:00 PM-05:00 PM,3.93,3.2,2.04,1.08,1.53,4.16,1.08,1.89
Link 2,2018,1,05:00 PM-06:00 PM,8.02,6.27,5.68,2.43,1.83,6.23,1.16,2.34
Link 2,2018,1,06:00 PM-07:00 PM,6.77,4.85,4.34,1.79,1.74,5.37,1.38,2.43
